S#,Title,Location,State,Date,Incident Area,Open/Close Location,Target,Cause,Summary,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
262,San Diego State University,"San Diego, California",California,8/15/1996,San Diego State University,Close,Teachers,,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",3,0,3,0,36,,,No,White American or European American,Male,32.86357277,-117.1281628
263,Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",Florida,2/9/96,,,Ex-Coworkers,revenge,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,0,41,0,,Yes,black,Male,26.1223084,-80.1433786
264,Frontier Junior High School,"Moses Lake, Washington",Washington,2/2/96,Frontier Junior High School,Close,Students+Teachers,frustration,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",3,1,4,0,14,,,Yes,White American or European American,Male,47.12189424,-119.2750699
265,Richland High School,"Lynnville, Tennessee",Tennessee,11/15/1995,Richland High School,Close,Students+Teachers,,"On November 15, 1995, a 17-year-old students at Richland High School in Lynnville, Tennessee arrived to school and began shooting. He killed a teacher, a student and wounded another teacher before the gun was wrestled away from him by another teacher.",2,1,3,0,17,,,Yes,White American or European American,Male,35.37810374,-87.00610559
267,Montclair Post Office,"Montclair, New Jersey",New Jersey,3/21/1995,Post Office in Montclair,Close,random,unemployement,"On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.",4,1,5,0,29,0,,No,White American or European American,Male,40.826184,-74.20862
268,Downtown Chapel Hill,"Chapel Hill, North Carolina",North Carolina,1/26/1995,,Open,random,psycho,"On January 26, 1995, a 26-year-old mentally ill law student in Chapel Hill, North Carolina, was permitted to take unsupervised off-campus trips outside his mental hospital. During this particular trip, he opened fire on passersby, killing two and wounding two others before being arrested. He was found not guilty by reason of insanity and later won a lawsuit against a psychiatrist.",2,2,4,0,26,,,Yes,White American or European American,Male,35.92681467,-79.03850407
270,Wickliffe Middle School,"Wickliffe, Ohio",Ohio,11/7/94,Wickliffe Middle School,Close,random,psycho,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.",1,3,4,0,37,,,Yes,White American or European American,Male,41.60713735,-81.46902046
271,Fairchild Air Force Base Hospital,"Fairchild Air Force Base, Washington",Washington,6/20/1994,hospital,Close,psychologist+psychiatrist,anger,"On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.",5,23,27,0,20,0,,Yes,White American or European American,Male,47.618456,-117.644099
272,"Residence in Union, Kentucky","Union, Kentucky",Kentucky,5/26/1994,Home+School,Close,random,psycho,"On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.",4,0,4,0,17,,,No,White American or European American,Male,38.95130818,-84.67066339
273,Chelsea High School,"Chelsea, Michigan",Michigan,12/16/1993,Chelsea High School,Close,Coworkers,anger,"On December 16, 1993, after a meeting with school officials in regards to a harassment complaint made by a student, a 39-year-old Chemistry teacher at Chelsea High School in Chelsea, Michigan stormed off with his wife and went home. Still enraged by the allegation, he returned to the school, killing the superintendent and wounding the principal and a teacher before being arrested.",1,2,3,0,39,1,Chelsea High School,Yes,White American or European American,Male,42.31319376,-84.01868108
274,Chuck E. Cheese in Aurora,"Aurora, Colorado",Colorado,12/14/1993,Chuck E. Cheese,Close,Ex-Coworkers,unemployement,"On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.",4,1,5,0,19,0,,Yes,Black American or African American,Male,39.69892933,-104.7871863
275,Long Island Rail Road Commuter Train,"Garden City, New York",New York,12/7/93,Train,Close,random,psycho,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.",6,19,25,0,34,,,No,Black American or African American,Male,40.72662266,-73.644712
276,Central Middle School,"Sheridan, Wyoming",Wyoming,9/17/1993,Central Middle School,Close,random,frustration,"On September 17, 1993, a 29-year-old man recently discharged from the Navy approached a physical education class at Central Middle School in Sheridan, Wyoming and opened fire on its 29 students. He wounded four students before committing suicide in front of the class.",1,4,4,0,29,0,,No,White American or European American,Male,44.79051074,-106.9599165
277,Luigi's Restaurant in Fayetteville,"Fayetteville, North Carolina",North Carolina,8/6/93,Luigi's Restaurant,Close,random,anger,"On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.",4,8,12,0,22,1,Army,No,White American or European American,Male,35.07997086,-79.03796125
278,Weber State University,"Ogden, Utah",Utah,7/8/93,Weber State University,Close,random,frustration,"On July 8, 1993, a 28-year old student shot and injured three people at a grievance hearing at Weber State University in Odgen, Utah. One of the injured was a State police officer who was able to shoot back, killing the perpetrator.",1,3,3,0,28,,,No,Asian American,Male,41.2281367,-111.9675317
279,Offices of Pettit & Martin in San Francisco,"San Francisco, California",California,7/1/93,law firm,Close,lawyers,frustration,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.",9,6,14,0,55,,,No,White American or European American,Male,37.75457839,-122.4424343
280,Dearborn Post Office,"Dearborn, Michigan",Michigan,5/6/93,Workplace,Close,Coworkers,frustration,"On May 6, 1993, a 45-year-old postal mechanic, upset with supervisors and the management of his post office in Dearborn, Michigan, arrived to work and began shooting. He killed a supervisor and wounded two other postal employees before committing suicide.",2,2,3,0,45,1,,Unknown,Unknown,Male,42.31269522,-83.21293244
281,Dana Point Post Office,"Dana Point, California",California,5/6/93,,Open+CLose,random,psycho,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.",1,5,6,0,38,0,,Yes,White American or European American,Male,33.47316083,-117.696399
282,Simon's Rock College of Bard,"Great Barrington, Massachusetts",Massachusetts,12/14/1992,Simon's Rock College of Bard,Close,Students+Teachers,,"On December 14, 1992, an 18-year-old student opened fire at Simon's Rock College of Bard in Great Barrington, Massachusetts. Before turning himself in to police, he killed a student and a teacher and wounded four others.",2,4,6,0,18,,,No,Asian American,Male,42.19358268,-73.36216339
283,Schuyler County Office Building,"Watkins Glen, New York",New York,10/15/1992,County Office Building,Close,Social Workers,frustration,"On October 15, 1992, a 50-year-old truck driver, upset about his wages being garnished for back-payments of child support, entered the Schuyler County Office Building in Watkins Glen, New York. He killed four female social workers before committing suicide.",5,0,4,0,50,1,,No,White American or European American,Male,42.38013875,-76.86724659
284,Palo Duro High School,"Amarillo, Texas",Texas,9/11/92,"Amarillo, Texas",,Students,anger,"On September 11, 1992, a fight broke out in Amarillo, Texas between two students that ended with one student, a 17-year-old male, pulling a gun out and shooting. Six students were wounded before the shooter was taken into custody.",0,6,6,0,17,,,Unknown,Unknown,Male,35.18322484,-101.8805688
285,Lindhurst High School,"Olivehurst, California",California,5/1/92,Lindhurst High School,Close,Students+Teachers,failing exams,"On May 1, 1992, a 20-year-old former student of Lindhurst High School in Olivehurst, California began shooting at students and teachers in classrooms. Seeking revenge for a failing grade, the shooter first killed the teacher who gave him that grade, later killing three students and injuring ten others before being arrested.",4,10,14,0,20,,,Yes,White American or European American,Male,39.08174985,-121.5549539
286,Royal Oak Post Office,"Royal Oak, Michigan",Michigan,11/14/1991,Post Office in Royal Oak,Close,Ex-Coworkers,unemployement,"On November 14, 1991, a 31-year old former postal worker opened fire at the post office in Royal Oak, Michigan, his former workplace. He killed his four supervisors and wounded five co-workers before committing suicide.",5,5,9,0,31,0,,Yes,White American or European American,Male,42.50840203,-83.15387427
287,University of Iowa,"Iowa City, Iowa",Iowa,11/1/91,University of lowa,Close,Coworkers,frustration,"On November 1, 1991, a 28-year-old astrophysics researcher opened fire on academics at a meeting at the University of Iowa in Iowa City. The shooter fatally wounded three professors on his dissertation committee, an academic affairs officer, and the researcher who received the award he felt he deserved, and as well as paralyzing a student employee before committing suicide.",6,1,6,0,28,1,University of lowa,No,Asian American,Male,41.65589405,-91.53117986
288,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",Texas,10/16/1991,Luby's Cafeteria,Open,random,unemployement,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.",24,20,43,0,35,0,,Yes,White American or European American,Male,31.07925506,-97.73392317
289,Ridgewood Post Office,"Ridgewood, New Jersey",New Jersey,10/10/91,,Close,Ex-Coworkers,revenge,"On October 10, 1991, a 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.",3,0,3,0,35,,,Yes,Black American or African American,Male,40.98213277,-74.11264731
291,GMAC Loan Office,"Jacksonville, Florida",Florida,6/17/1990,,,random,psycho,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.",12,6,17,0,42,,,No,Black American or African American,Male,30.33216122,-81.67576993
292,Standard Gravure Corporation,"Louisville, Kentucky",Kentucky,9/14/1989,Standard Gravure printing company,Close,Ex-Coworkers,frustration,"On September 14. 1989, a 47-year-old man, disgruntled by his work situation and suffering from mental illness, entered the Standard Gravure printing company in Louisville, Kentucky, his former workplace, and began shooting. The incident ended with eight fatalities and twelve gun injuries before the shooter ending his own life with a bullet.",9,12,20,0,47,,,Yes,White American or European American,Male,38.249432,-85.726243
293,Orange Glenn Post Office,"Escondido, California",California,8/10/89,,Close,random,psycho,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.",4,1,4,0,52,1,Orange Glenn Post Office,No,White American or European American,Male,33.13439925,-117.0722528
294,Cleveland Elementary School,"Stockton, California",California,1/17/1989,Cleveland Elementary School,Close,Students+Teachers,terrorism,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.",6,30,35,0,24,0,,Yes,White American or European American,Male,37.96631812,-121.3018775
295,New Orleans Downtown Post Office,"New Orleans, Louisiana",Louisiana,12/14/1988,main post office in downtown New Orleans,Close,,,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",0,4,4,0,39,1,Post Office,Unknown,Unknown,Male,30.0687242,-89.93147412
296,Oakland Elementary School,"Greenwood, South Carolina",South Carolina,9/26/1988,Oakland Elementary School,Close,Students+Teachers,psycho,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",2,9,11,0,19,0,,Yes,White American or European American,Male,34.1928952,-82.15355508
297,Comet Auto Parts and Montefiore School,"Chicago, Illinois",Illinois,9/22/1988,,Open+Close,random,terrorism,"On September 22, 1988, a 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",5,2,6,1,40,,,No,Black American or African American,Male,41.83928045,-87.68818145
298,Hubbard Woods Elementary School,"Winnetka, Illinois",Illinois,5/20/1988,Home+School,Close,Students,terrorism,"On May 20, 1988, a 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",2,7,8,0,30,,,Yes,White American or European American,Female,42.10648807,-87.74211141
299,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",California,2/16/1988,ESL in Sunnyvale,Open+Close,Ex-Coworkers,revenge,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.",7,4,11,0,39,0,,Yes,White American or European American,Male,37.38344257,-122.0256185
300,Pinellas Park High School,"Pinellas Park, Florida",Florida,2/11/88,School,Close,,frustration,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.",1,2,3,0,"15,16",,,No,White American or European American,Male,27.84887061,-82.71058
301,Palm Bay Shopping Centers,"Palm Bay, Florida",Florida,4/23/1987,,Open,random,psycho,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.",6,14,20,0,59,,,Yes,White American or European American,Male,27.98388983,-80.66662713
302,Fergus County High School,"Lewistown, Montana",Montana,12/4/86,Fergus County High School,Close,Teachers,failing exams,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",1,3,4,0,14,,,Yes,White American or European American,Male,47.03740653,-109.4844918
303,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",Oklahoma,8/20/1986,"Edmond, Oklahoma",Close,Coworkers,,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.",15,6,20,0,44,1,Post Office,Yes,White American or European American,Male,35.66889223,-97.41438792
304,New York Technical College,"Brooklyn, New York",New York,8/12/86,New York Technical College in Brooklyn,Close,Teachers,revenge,"On August 12, 1986, a 29-year civil technology student  at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.",1,4,5,0,29,,,Yes,Black American or African American,Male,40.679276,-73.939513
305,Atlanta Post Office,"Atlanta, Georgia",Georgia,3/6/85,Atlanta Post Office,Close,Coworkers,anger,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",2,1,3,0,30,1,Atlanta Post Office,Yes,Black American or African American,Male,33.7629969,-84.4231328
306,Goddard Junior High School,"Goddard, Kansas",Kansas,1/21/1985,Goddard Junior High School,Close,Students+Teachers,,"On January 21, 1985, a 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",1,3,4,0,14,,,Yes,White American or European American,Male,37.67129418,-97.55070476
307,McDonald's restaurant in San Ysidro,"San Ysidro, California",California,7/18/1984,McDonald's restaurant in San Ysidro,Close,random,psycho,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.",22,19,40,0,41,0,,Yes,White American or European American,Male,32.555556,-117.047656
308,Ianni's Club in Dallas,"Dallas, Texas",Texas,6/29/1984,lanni's dance club,Close,random,revenge,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person.",6,1,7,0,39,,,Yes,White American or European American,Male,32.79480596,-96.76631094
309,49th Street Elementary School,"Los Angeles, California",California,2/24/1984,,Open,Children,terrorism,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.",3,12,14,0,28,,,Yes,Black American or African American,Male,34.17622092,-118.5399542
310,Johnston Post Office,"Johnston, South Carolina",South Carolina,8/19/1983,Johnston Post Office,Close,postmaster,anger,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.",1,3,4,0,55,0,,Yes,White American or European American,Male,33.83272887,-81.8051584
311,Wah Mee Club in Seattle,"Seattle, Washington",Washington,2/18/1983,Wah Mee Gambling Club,Close,random,terrorism,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.",13,1,14,0,23,,,Unknown,Asian American,Male,47.62199575,-122.323646
312,Welding shop in Miami,"Miami, Florida",Florida,8/20/1982,,Close,welding shop employees,psycho,"On August 20, 1982, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",9,3,11,0,51,,,Yes,White American or European American,Male,25.79653943,-80.20840397
313,Valley High School,"Las Vegas, Nevada",Nevada,3/19/1982,Valley High School,Close,Students+Teachers,,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",1,2,3,0,17,,,Yes,White American or European American,Male,36.18931923,-115.3264875
314,University of South Carolina,"Columbia, South Carolina",South Carolina,10/6/79,fraternity house party,Close,Students,,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",2,5,7,0,19,,,Unknown,Black American or African American,Male,34.05098834,-80.82077527
315,Grover Cleveland Elementary School,"San Diego, California",California,1/29/1979,,Open,Children,terrorism,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",2,9,11,0,16,,,Yes,White American or European American,Female,32.86357277,-117.1281628
316,Cal State Fullerton,"Fullerton, California",California,7/12/76,California State University,Close,random,terrorism,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others.",7,2,9,0,37,1,California State University,Yes,White American or European American,Male,33.88404244,-117.92785
317,Los Angeles Computer Learning Center,"Los Angeles, California",California,2/19/1976,Los Angeles Computer School,Close,Students,anger,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",1,7,8,0,18,,,Unknown,White American or European American,Male,34.17622092,-118.5399542
318,Olean High School,"Olean, New York",New York,12/30/1974,,Open+Close,random,terrorism,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",3,7,10,0,17,,,No,White American or European American,Male,42.08185369,-78.43213922
319,Clara Barton Elementary School,"Chicago, Illinois",Illinois,1/17/1974,Clara Barton Elementary School,Close,Teachers,anger,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",1,3,4,0,14,,,Yes,Unknown,Male,41.83928045,-87.68818145
320,New Orleans Police Shootings,"New Orleans, Louisiana",Louisiana,12/31/1972,,,random,psycho,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",10,13,22,4,23,,,Yes,Black American or African American,Male,30.0687242,-89.93147412
322,Rose-Mar College of Beauty,"Mesa, Arizona",Arizona,11/12/66,Rose-Mar College of Beauty,Close,random,terrorism,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",5,1,6,0,18,,,Yes,White American or European American,Male,33.42268696,-111.8163202
323,University of Texas at Austin,"Austin, Texas",Texas,8/1/66,University of Texas,Close,random,terrorism,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",17,32,48,0,25,,,Yes,White American or European American,Male,30.1988873,-97.84415949