Target,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Jersey,New Mexico,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
basketballPlayers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clubMembers,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
congressWoman,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
coworkerRelated,1,,,,5,1,1,,3,2,,,2,,1,,2,,,1,1,3,1,,,,,,1,,,,1,1,,1,1,,,1,,,1,,,1,
nonWhiteRace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
drugDealer,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partnerRelated,1,,,,1,,,,1,1,,,1,,,,,,,,,1,,,,,,,,1,1,2,1,,,1,,,,2,,1,,1,1,1,
familyRelated,2,,3,,3,,1,,3,6,,,1,,,,1,,1,,,,,,1,1,,,,2,1,,1,2,,,,1,2,3,,,2,3,,,
friends,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
houseOwner,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
hunters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
lawyers,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
monks,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neighbors,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
partyRelated,,,,,1,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,
policeRelated,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,1,,,,,,,,,,3,,,1,2,,,
postmaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
prayerGroup,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protestors,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
psychologistOrPsychiatrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
random,4,,4,,19,5,,1,12,6,1,1,3,1,,3,1,5,,,1,4,2,2,2,,3,4,3,,7,6,3,,1,4,1,,2,11,2,,3,7,,4,1
rapper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
socialWorkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
studentOrTeacherRelated,1,1,2,2,7,1,,,,1,,,3,,,1,,,,,1,1,,,,1,,1,,,1,,3,1,3,2,2,,1,1,,,1,2,,,
TSA Officer,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uninvitedGuests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
weldingShopEmployees,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
unspecified,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,