Date,NumShootings
11/5/17,1
11/1/17,1
10/18/2017,1
10/1/17,1
6/14/2017,1
6/7/17,1
6/5/17,1
5/12/17,1
4/18/2017,1
1/6/17,1
9/23/2016,1
7/17/2016,1
7/7/16,1
6/12/16,1
4/29/2016,1
4/26/2016,1
4/24/2016,1
4/21/2016,1
4/19/2016,3
4/18/2016,1
4/9/16,2
4/7/16,1
4/1/16,1
3/31/2016,1
3/26/2016,1
3/25/2016,2
3/20/2016,1
3/19/2016,2
3/15/2016,1
3/13/2016,1
3/12/16,1
3/11/16,2
3/9/16,2
3/7/16,3
3/6/16,2
3/5/16,1
2/28/2016,2
2/27/2016,1
2/26/2016,1
2/25/2016,3
2/23/2016,1
2/21/2016,2
2/20/2016,4
2/19/2016,1
2/9/16,1
2/7/16,2
2/6/16,3
1/31/2016,1
1/30/2016,1
1/29/2016,1
1/27/2016,1
1/25/2016,1
1/23/2016,2
1/17/2016,1
1/11/16,1
1/7/16,1
1/6/16,1
12/6/15,1
12/2/15,2
11/27/2015,1
11/23/2015,2
11/15/2015,1
11/13/2015,1
11/7/15,1
11/4/15,1
10/31/2015,1
10/21/2015,1
10/9/15,1
10/1/15,2
9/27/2015,1
9/17/2015,1
9/10/15,1
8/29/2015,1
8/26/2015,1
8/19/2015,1
8/8/15,1
7/23/2015,1
7/22/2015,1
7/16/2015,1
7/12/15,1
6/20/2015,1
6/17/2015,1
6/16/2015,1
6/11/15,1
6/7/15,1
5/31/2015,2
5/25/2015,1
5/12/15,1
5/10/15,1
5/3/15,1
5/1/15,1
4/25/2015,1
4/21/2015,1
4/16/2015,1
4/7/15,1
4/5/15,1
4/3/15,1
3/30/2015,1
3/28/2015,1
3/19/2015,1
3/18/2015,1
3/15/2015,1
3/13/2015,1
2/28/2015,1
2/27/2015,1
2/26/2015,1
2/24/2015,1
2/22/2015,2
2/10/15,1
2/9/15,1
2/7/15,2
2/4/15,1
2/1/15,1
1/28/2015,1
1/24/2015,2
1/10/15,1
1/1/15,1
12/15/2014,1
12/1/14,1
11/19/2014,1
10/24/2014,1
8/8/14,1
6/29/2014,1
6/8/14,1
6/5/14,1
5/23/2014,1
4/29/2014,1
4/3/14,1
4/2/14,1
3/23/2014,1
2/20/2014,1
12/28/2013,1
11/1/13,1
10/21/2013,1
9/16/2013,1
8/14/2013,1
8/7/13,1
8/5/13,1
7/26/2013,1
6/7/13,1
4/24/2013,1
4/21/2013,1
3/13/2013,1
2/19/2013,1
2/3/13,1
1/30/2013,1
1/19/2013,1
12/14/2012,1
12/11/12,1
10/21/2012,1
9/28/2012,1
9/27/2012,1
8/5/12,1
7/20/2012,1
6/9/12,1
5/30/2012,1
5/20/2012,1
4/6/12,1
4/2/12,1
2/27/2012,1
2/22/2012,1
1/29/2012,1
10/12/11,1
9/6/11,1
7/7/11,1
4/6/11,1
2/6/11,1
1/8/11,1
8/3/10,1
2/12/10,1
11/29/2009,2
11/5/09,1
4/3/09,1
3/29/2009,3
3/10/09,1
12/24/2008,1
10/26/2008,1
7/24/2008,1
6/25/2008,1
2/14/2008,1
2/7/08,1
12/24/2007,1
12/11/07,1
12/9/07,1
12/5/07,1
10/25/2007,1
10/11/07,1
10/7/07,1
4/16/2007,1
4/10/07,1
2/12/07,1
10/2/06,2
9/17/2006,1
8/30/2006,1
8/24/2006,1
3/25/2006,1
1/30/2006,1
3/21/2005,1
3/12/05,1
2/24/2005,1
12/8/04,1
11/21/2004,1
8/27/2003,1
7/8/03,1
5/9/03,1
10/28/2002,1
1/16/2002,1
3/5/01,1
2/5/01,1
12/26/2000,1
12/30/1999,1
12/6/99,1
11/2/99,1
9/15/1999,1
7/29/1999,1
5/20/1999,1
4/20/1999,1
10/6/98,1
5/21/1998,1
4/24/1998,1
3/24/1998,1
3/6/98,1
12/19/1997,1
12/18/1997,1
12/1/97,1
10/1/97,1
9/15/1997,1
2/19/1997,1
8/15/1996,1
2/9/96,1
2/2/96,1
11/15/1995,1
4/3/95,1
3/21/1995,1
1/26/1995,1
12/30/1994,1
11/7/94,1
6/20/1994,1
5/26/1994,1
12/16/1993,1
12/14/1993,1
12/7/93,1
9/17/1993,1
8/6/93,1
7/8/93,1
7/1/93,1
5/6/93,2
12/14/1992,1
10/15/1992,1
9/11/92,1
5/1/92,1
11/14/1991,1
11/1/91,1
10/16/1991,1
10/10/91,1
8/9/91,1
6/17/1990,1
9/14/1989,1
8/10/89,1
1/17/1989,1
12/14/1988,1
9/26/1988,1
9/22/1988,1
5/20/1988,1
2/16/1988,1
2/11/88,1
4/23/1987,1
12/4/86,1
8/20/1986,1
8/12/86,1
3/6/85,1
1/21/1985,1
7/18/1984,1
6/29/1984,1
2/24/1984,1
8/19/1983,1
2/18/1983,1
8/20/1982,1
3/19/1982,1
10/6/79,1
1/29/1979,1
7/12/76,1
2/19/1976,1
12/30/1974,1
1/17/1974,1
12/31/1972,1
11/11/71,1
11/12/66,1
8/1/66,1