States,Number of mass shootings,Fatalities,Injured,Total victims,Policemen Killed
Alabama,11,32,31,62,0
Alaska,1,2,2,4,0
Arizona,11,44,26,65,0
Arkansas,2,5,11,18,0
California,38,186,233,408,3
Colorado,7,46,109,151,1
Connecticut,3,42,4,44,0
Delaware,1,1,4,5,0
Florida,25,128,152,275,0
Georgia,16,42,57,92,0
Hawaii,1,7,0,7,0
Idaho,1,3,1,4,0
Illinois,11,37,54,85,1
Indiana,1,0,5,5,0
Iowa,1,6,1,6,0
Kansas,6,17,35,51,0
Kentucky,5,27,18,42,0
Louisiana,7,17,45,60,7
Maine,1,4,0,3,0
Maryland,2,4,7,11,0
Massachusetts,4,12,15,27,0
Michigan,10,30,29,56,0
Minnesota,4,22,12,31,0
Mississippi,4,13,21,33,1
Missouri,4,15,10,23,0
Montana,2,6,3,8,0
Nebraska,3,14,12,26,0
Nevada,6,72,544,612,3
New Jersey,4,8,9,17,0
New Mexico,5,12,10,19,1
New York,11,43,60,100,0
North Carolina,11,40,21,59,0
Ohio,10,24,33,53,1
Oklahoma,5,26,12,36,0
Oregon,4,17,43,58,0
Pennsylvania,10,37,31,66,0
South Carolina,5,18,21,39,1
South Dakota,1,6,0,5,0
Tennessee,7,13,19,30,0
Texas,21,151,174,316,11
Utah,2,7,7,12,0
Vermont,1,2,2,4,0
Virginia,9,51,42,89,3
Washington,18,96,44,131,8
West Virginia,1,5,0,4,0
Wisconsin,9,42,22,59,0
Wyoming,1,1,4,4,0